Date ,Price ,Open ,High ,Low ,Volume ,Chg% 
02-Jan-12,162.76,162.9,163.6,161.14,14.46M,0.52%
03-Jan-12,170.56,164.4,171,164.3,21.34M,4.79%
04-Jan-12,169.6,171.2,171.39,167.52,22.24M,-0.56%
05-Jan-12,169.25,169.6,171.85,168,21.34M,-0.21%
06-Jan-12,167.28,167.5,170.76,165.81,21.14M,-1.16%
07-Jan-12,166.91,167.01,168.43,166.21,2.54M,-0.22%
09-Jan-12,163.72,166.17,166.17,162.51,26.13M,-1.91%
10-Jan-12,170.26,164.97,170.88,164.9,28.09M,3.99%
11-Jan-12,172.69,170.6,173.37,169.33,24.53M,1.43%
12-Jan-12,176.44,173.07,177.64,172.03,25.16M,2.17%
13-Jan-12,177.61,177.69,179.99,177,20.47M,0.66%
16-Jan-12,181.64,175.62,183.49,174.84,21.27M,2.27%
17-Jan-12,184.4,183.8,187.24,183.5,22.72M,1.52%
18-Jan-12,186.53,185,187.1,182,21.71M,1.16%
19-Jan-12,188.43,188,191.25,187.51,17.02M,1.02%
20-Jan-12,193.28,189.8,194.4,189.51,26.38M,2.57%
23-Jan-12,194.05,193.19,196.71,192.1,16.83M,0.40%
24-Jan-12,204.08,193.2,205.8,192.67,51.13M,5.17%
25-Jan-12,205.8,205.53,208.59,203.99,33.82M,0.84%
27-Jan-12,204.06,206.44,207,201.79,21.06M,-0.85%
30-Jan-12,198.53,201.5,205.88,197.01,20.77M,-2.71%
31-Jan-12,206.16,201.99,207.3,201.2,29.75M,3.84%
01-Feb-12,207.76,205.1,208.84,204.25,27.57M,0.78%
02-Feb-12,207.26,209.5,211.34,198.23,55.33M,-0.24%
03-Feb-12,210.31,207,211.76,203.65,24.48M,1.47%
06-Feb-12,216.26,213.19,218.75,213.19,31.65M,2.83%
07-Feb-12,215.31,218.19,218.83,214.54,21.73M,-0.44%
08-Feb-12,217.78,216.15,218.8,214.52,24.98M,1.15%
09-Feb-12,218.4,216.43,219.2,215.76,18.50M,0.28%
10-Feb-12,217.19,218.8,220.9,215.01,22.97M,-0.55%
13-Feb-12,212.93,217.4,218.05,209.6,56.13M,-1.96%
14-Feb-12,220.01,212.85,221.79,212.85,36.54M,3.33%
15-Feb-12,225.06,222.7,225.75,222.25,26.68M,2.30%
16-Feb-12,235.03,224.22,237.75,222.91,42.83M,4.43%
17-Feb-12,241.71,237.7,247.16,237.7,50.35M,2.84%
21-Feb-12,245.25,242,247.5,241.5,27.88M,1.46%
22-Feb-12,225.5,245.6,246.91,223.69,63.34M,-8.05%
23-Feb-12,226.05,225.44,232.31,224.7,44.54M,0.24%
24-Feb-12,220.56,228,230.3,219.5,36.30M,-2.43%
27-Feb-12,212.28,221.49,222,211.11,29.41M,-3.75%
28-Feb-12,223.12,213.9,225.5,213.06,44.59M,5.11%
29-Feb-12,224.75,226.5,228.7,222.3,35.70M,0.73%
01-Mar-12,221.88,223.38,223.78,218.65,22.62M,-1.28%
02-Mar-12,224.67,222.64,228.2,218.6,31.10M,1.26%
03-Mar-12,225.09,224.49,225.9,224.49,1.67M,0.19%
05-Mar-12,217.6,223.47,223.47,216.47,19.69M,-3.33%
06-Mar-12,214.78,215.1,226.3,211.49,44.40M,-1.30%
07-Mar-12,214.16,213.5,216.38,210.6,35.29M,-0.29%
09-Mar-12,222.64,219,224.3,218.81,22.97M,3.96%
12-Mar-12,231.08,230.53,232.46,228.1,36.57M,3.79%
13-Mar-12,232.75,234.13,235,231.65,18.01M,0.72%
